Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,3u3,C_0805_2012Metric,175.637233,-79.637233,180,top
C2,1u,C_0805_2012Metric,170.237233,-73.357233,0,top
C3,100n,C_0805_2012Metric,170.237233,-75.897233,0,top
C4,4u7,C_0805_2012Metric,153.092233,-86.622233,0,top
C5,100n,C_0805_2012Metric,170.237233,-78.437233,0,top
C6,1u,C_0805_2012Metric,164.572233,-74.627233,180,top
C7,100n,C_0805_2012Metric,160.077233,-74.627233,0,top
C8,68u,C_0805_2012Metric,146.792233,-93.091,0,top
C9,100n,C_0805_2012Metric,146.792233,-90.551,180,top
C10,0.1uF,C_0805_2012Metric,145.202233,-78.486,180,top
C11,22p,C_0805_2012Metric,169.017233,-93.042233,180,top
C12,22p,C_0805_2012Metric,151.872233,-93.042233,180,top
C13,4u7,CP_Elec_10x7.7,124.567233,-87.942233,-90,top
C14,100p,C_0805_2012Metric,135.128,-74.422,-90,top
C15,10u,C_0805_2012Metric,169.017233,-95.885,180,top
C16,1u,C_0805_2012Metric,181.717233,-86.057233,180,top
C17,DNF_10u,C_0805_2012Metric,137.587233,-100.967233,0,top
D1,STTH1R06U,D_SMB,127.635,-77.343,0,top
J1,Conn_01x04,Molex 52361-0471,189.617233,-103.198733,-90,top
J2,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,155.682233,-112.727233,90,top
J3,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,116.312233,-82.882233,0,top
L1,100u,ETQP5M101YGK,136.852233,-102.306,180,top
Q1,DMP3098LSD-13,SOIC-8_3.9x4.9mm_P1.27mm,153.092233,-78.437233,180,top
Q2,IPN70R600P7S,SOT-223-3,135.997233,-84.201,90,top
R1,5k1,R_0805_2012Metric,160.02,-86.692233,90,top
R2,2k4,R_0805_2012Metric,160.02,-82.177233,90,top
R3,5k1,R_0805_2012Metric,165.1,-82.177233,-90,top
R4,2k4,R_0805_2012Metric,162.56,-82.177233,90,top
R5,5k1,R_0805_2012Metric,165.1,-86.692233,90,top
R6,1k,R_0805_2012Metric,162.56,-86.692233,-90,top
R7,2k2,R_0805_2012Metric,153.092233,-84.082233,0,top
R8,2k2,R_0805_2012Metric,160.077233,-77.802233,0,top
R9,2k2,R_0805_2012Metric,164.522233,-77.802233,0,top
R10,2k2,R_0805_2012Metric,173.99,-89.232233,90,top
R11,2k2,R_0805_2012Metric,177.165,-89.232233,90,top
R12,2k2,R_0805_2012Metric,170.287233,-89.232233,90,top
R13,10k,R_0805_2012Metric,166.477233,-112.727233,180,top
R14,10k,R_0805_2012Metric,125.73275,-99.949,0,top
R15,DNF_10k,R_0805_2012Metric,130.81275,-99.949,0,top
R16,10k,R_0805_2012Metric,177.907233,-101.297233,90,top
R17,10k,R_0805_2012Metric,151.872233,-97.487233,180,top
R18,10k,R_0805_2012Metric,177.907233,-107.647233,-90,top
R19,50m,R_0805_2012Metric,139.954,-78.486,0,top
R20,1M5,R_1206_3216Metric,138.176,-74.422,-90,top
R21,10k,R_0805_2012Metric,148.5665,-73.406,0,top
RV1,10k,Potentiometer_Bourns_3214W_Vertical,143.51,-74.168,-90,top
U1,TYPEC-251Y-ARP6L65,TYPEC-251Y-ARP6L65,179.177233,-84.152233,180,top
U2,CYPD3177,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,171.507233,-83.532233,0,top
U3,MAX1771xSA,SO-8_3.9x4.9mm_P1.27mm,144.252233,-84.201,90,top
U4,ATMEGA328-PU,QFP80P900X900X120-32N,169.017233,-103.837233,-90,top
U5,HEF4104,SO-16_3.9x9.9mm_P1.27mm,137.902233,-108.282233,0,top
U6,DS3231MZ,SOIC-8_3.9x4.9mm_P1.27mm,181.717233,-92.407233,-90,top
Y1,16MHz,Crystal_HC49-U_Vertical,163.212233,-93.042233,180,top
