Item,Qty,Designator,Comment,Footprint,JLC P/N Basic,Fitted,,,
1,1,BAT1,BS-7,,,N,Digikey,BS-7-ND,
2,1,C1,3u3,0805_C,C354351,Y,,,
3,3,"C2, C6, C16",1u,0805_C,C28323,Y,,,
4,5,"C3, C5, C7, C9, C10",100n,0805_C,C28233,Y,,,
5,1,C4,4u7,0805_C,C1779,Y,,,
6,1,C8,68u,0805_C,C1955837,Y,,,
7,2,"C11, C12",22p,0805_C,C1804,Y,,,
8,1,C13,4u7,,C2982253,Y,,4061471,
9,1,C14,100p,0805_C,C2691714,Y,,,
10,1,C15,10u,0805_C,C440198,Y,,,
11,1,C17,DNF_10u,0805_C,,Y,,,
12,1,D1,STTH1R06U,SMB,C283526,Y,,,
13,1,J1,Conn_01x04,,,N,,1125374,3783747
14,1,J2,Conn_02x03_Odd_Even,,,N,,2751377,
15,1,J3,Conn_01x10,,,N,,1841229,
16,1,L1,100u,,C409630,Y,,2097232,
17,1,Q1,DMP3098LSD-13,SO-8,C531177,Y,,,
18,1,Q2,IPN70R600P7S,,,N,Farnell,2986474,
19,3,"R1, R3, R5",5k1,0805_R,C27834,Y,,,
20,8,"R2, R4, R7, R8, R9, R10, R11, R12",2k4,0805_R,C17526,Y,,,
21,1,R6,1k,0805_R,C17513,Y,,,
22,6,"R13, R14, R16, R17, R18, R21",10k,0805_R,C17414,Y,,,
23,1,R15,DNF_10k,0805_R,C17414,N,Farnell,1612522,
24,1,R19,50m,0805_R,,Y,Farnell,2493032,
25,1,R20,1M5,1206_R,C137367,Y,,,
26,1,RV1,10k,0805_R,C780202,Y,,,
27,1,U1,TYPEC-251Y-ARP6L65,,C283540,Y,,,
28,1,U2,CYPD3177,,C2959321,Y,,,
29,1,U3,MAX1771xSA,SO-8,C407903,Y,,,
30,1,U4,ATMEGA328-PU,,C14877,Y,,,
31,1,U5,HEF4104,,C7531,N,Farnell,3442186,
32,1,U6,DS3231MZ,,C107410,Y,,,
33,1,Y1,16MHz,,C2842307,Y,,,
